hgnc_id	GEP	GCN	MUT	CNS
HGNC:12537	0	3	3	3
HGNC:12538	-1	3	3	-1
HGNC:12539	-1	3	3	-1
HGNC:12540	-1	3	3	-1
HGNC:12541	0	0	3	0
HGNC:12544	-1	0	3	-1
HGNC:12545	-1	3	3	-1
HGNC:12546	-1	3	3	-1
HGNC:12547	-1	3	3	-1
HGNC:12553	-1	3	3	-1
HGNC:12554	-1	3	3	-1
HGNC:12555	-1	3	3	-1
HGNC:12562	2	3	3	2
HGNC:12563	2	3	3	2
HGNC:12576	1	3	3	1
HGNC:12582	2	3	3	2
HGNC:12585	3	3	3	3
HGNC:12586	3	3	3	3
HGNC:12587	3	3	3	3
HGNC:12590	3	3	3	3
HGNC:12591	3	3	3	3
HGNC:12592	2	3	3	2
HGNC:12705	-1	3	3	-1
HGNC:12706	-1	3	3	-1
HGNC:12805	-1	3	3	-1
HGNC:12839	-1	3	3	-1
HGNC:13203	-1	3	3	-1
HGNC:13213	-1	3	3	-1
HGNC:13265	-1	3	3	-1
HGNC:13273	-1	3	3	-1
HGNC:13312	3	3	3	3
HGNC:13398	2	3	3	2
HGNC:13414	-1	3	3	-1
HGNC:13444	-1	3	3	-1
HGNC:13445	-1	3	3	-1
HGNC:13447	2	3	3	2
HGNC:13448	3	3	3	3
HGNC:13479	-1	3	3	-1
HGNC:13527	2	3	3	2
HGNC:13528	-1	3	3	-1
HGNC:13531	-1	3	3	-1
HGNC:13542	-1	3	3	-1
HGNC:13557	-1	3	3	-1
HGNC:1368	-1	3	3	-1
HGNC:13709	3	3	3	3
HGNC:1371	-1	3	3	-1
HGNC:1372	-1	3	3	-1
HGNC:13724	2	3	3	2
HGNC:13726	1	3	3	1
HGNC:1373	-1	3	3	-1
HGNC:13734	-1	3	3	-1
HGNC:1374	-1	3	3	-1
HGNC:1375	-1	3	3	-1
HGNC:1377	-1	3	3	-1
HGNC:1378	-1	3	3	-1
HGNC:1380	-1	3	3	-1
HGNC:1381	-1	3	3	-1
HGNC:13811	-1	3	3	-1
HGNC:13812	-1	3	3	-1
HGNC:13815	-1	3	3	-1
HGNC:13817	1	3	3	1
HGNC:13818	-1	3	2	-1
HGNC:13819	-1	3	3	-1
HGNC:1382	-1	3	3	-1
HGNC:1383	-1	0	3	-1
HGNC:13886	-1	3	3	-1
HGNC:13887	-1	3	3	-1
HGNC:14025	-1	0	3	-1
HGNC:14073	-1	3	2	-1
HGNC:14118	-1	0	3	-1
HGNC:14120	-1	0	3	-1
HGNC:14129	2	3	3	2
HGNC:14135	1	0	3	1
HGNC:14177	1	3	3	1
HGNC:14178	-1	0	3	-1
HGNC:1421	1	3	3	1
HGNC:14239	1	3	3	1
HGNC:1424	3	0	3	3
HGNC:14240	-1	3	3	-1
HGNC:14247	3	3	3	3
HGNC:14404	-1	3	3	-1
HGNC:14409	1	3	3	1
HGNC:14411	-1	3	3	-1
HGNC:14412	-1	3	3	-1
HGNC:14415	-1	3	3	-1
HGNC:14416	-1	3	3	-1
HGNC:14418	3	3	3	3
HGNC:14423	-1	3	3	-1
HGNC:14430	-1	3	3	-1
HGNC:14467	-1	3	3	-1
HGNC:14468	-1	3	3	-1
HGNC:14469	-1	3	3	-1
HGNC:14471	1	3	3	1
HGNC:14472	1	3	3	1
HGNC:14522	-1	3	3	-1
HGNC:14572	-1	3	3	-1
HGNC:14573	1	3	3	1
HGNC:14601	2	3	3	2
HGNC:14639	-1	3	3	-1
HGNC:14679	-1	3	3	-1
HGNC:14859	1	3	3	1
HGNC:14897	-1	3	3	-1
HGNC:14903	-1	3	3	-1
HGNC:14914	-1	3	3	-1
HGNC:14937	2	3	3	2
HGNC:14938	3	3	3	3
HGNC:1516	2	3	3	2
HGNC:15449	-1	3	3	-1
HGNC:15463	1	3	3	1
HGNC:15472	-1	3	2	-1
HGNC:1548	3	0	3	3
HGNC:1549	2	3	3	2
HGNC:1550	2	3	3	2
HGNC:15516	-1	3	3	-1
HGNC:15517	1	3	3	1
HGNC:15629	1	3	3	1
HGNC:1564	1	3	3	1
HGNC:15654	-1	3	3	-1
HGNC:15683	-1	3	3	-1
HGNC:15684	-1	3	3	-1
HGNC:15685	2	3	3	2
HGNC:15722	-1	3	3	-1
HGNC:15769	-1	3	3	-1
HGNC:15791	2	3	3	2
HGNC:15814	1	3	3	1
HGNC:15827	-1	3	3	-1
HGNC:15829	-1	0	3	-1
HGNC:15894	1	3	3	1
HGNC:15917	-1	3	3	-1
HGNC:15919	1	3	3	1
HGNC:15938	2	3	3	2
HGNC:15956	-1	3	3	-1
HGNC:16029	-1	3	3	-1
HGNC:16049	3	0	3	3
HGNC:16058	2	3	3	2
HGNC:16065	2	3	3	2
HGNC:16091	1	3	3	1
HGNC:16140	1	0	3	1
HGNC:16148	2	3	3	2
HGNC:16187	-1	3	3	-1
HGNC:16232	-1	3	3	-1
HGNC:16253	-1	3	3	-1
HGNC:16266	-1	3	3	-1
HGNC:16270	-1	3	3	-1
HGNC:16297	-1	3	3	-1
HGNC:16354	-1	3	3	-1
HGNC:16431	-1	3	3	-1
HGNC:16437	-1	3	3	-1
HGNC:16448	1	3	3	1
HGNC:16484	-1	3	3	-1
HGNC:16496	-1	3	3	-1
HGNC:16526	-1	3	3	-1
HGNC:1663	-1	3	3	-1
HGNC:1664	2	3	3	2
HGNC:1667	-1	3	3	-1
